CHR	MB	CM
3	188.385334	189.216
3	189.275405	190.353
3	190.107119	193.826
3	191.705648	196.871
3	192.228729	199.019
3	193.527178	200.274
3	194.244411	202.774
3	194.931805	203.336
3	196.289189	209.598
3	196.74513	209.976
3	199.298372	209.9761
4	1e-06	0
4	2.481852	1e-04
4	3.5058	0.618
4	3.719953	2.031
4	5.787393	6.678
4	7.515895	15.816
4	9.337697	21.212
4	10.30232	21.508
4	11.180262	22.834
4	13.143506	24.152
4	13.650021	25.649
4	16.042868	28.245
4	17.170237	31.095
4	18.305275	31.566
4	18.705261	32.244
4	20.068216	32.664
4	21.341284	34.404
4	23.368855	36.158
4	24.416385	38.808
4	25.060523	39.468
4	25.846255	42.259
4	26.636716	42.81
4	26.999547	43.655
4	28.481931	44.57
4	28.744706	45.399
4	30.634452	46.849
4	31.051457	47.943
4	31.90372	48.486
4	32.238005	49.221
4	34.790089	50.417
4	35.113739	51.008
4	37.045599	52.18
4	38.609317	55.038
4	38.696272	55.974
4	39.872944	56.481
4	40.431161	58.413
4	42.359849	61.121
4	48.045514	63.392
4	52.61346	63.477
4	54.072297	63.912
4	55.687123	66.72
4	56.766396	67.45
4	57.347137	69.084
4	58.440488	70.386
4	61.478011	71.867
4	62.063506	72.882
4	63.867277	74.003
4	66.23602	74.832
4	68.511704	76.618
4	70.55126	77.254
4	70.575152	77.606
4	72.669625	79.079
4	75.843499	80.965
4	76.216847	81.826
4	77.914373	82.984
4	78.09004	83.86
4	78.847239	84.741
4	81.17895	86.204
4	81.43314	86.987
4	82.24254	87.174
4	83.577786	88.541
4	85.668347	92.157
4	86.483995	92.283
4	87.152226	93.331
4	88.500206	93.69
4	89.234881	94.437
4	90.849924	97.062
4	94.438413	98.317
4	95.058506	99.236
4	95.816837	99.504
4	96.747517	101.536
4	98.134393	102.219
4	99.640764	102.367
4	99.773335	102.887
4	101.351276	103.583
4	103.608433	105.748
4	104.56694	105.935
4	105.151746	106.714
4	106.692026	107.396
4	106.735477	107.796
4	108.689205	108.716
4	110.220124	110.761
4	111.223994	111.24
4	112.243641	112.989
4	114.050334	114.06
4	114.552154	115.284
4	116.094415	116.872
4	119.887046	118.33
4	120.277514	118.92
4	121.607092	119.15
4	123.273347	120.874
4	124.49416	121.15
4	124.764958	121.827
4	126.392354	122.597
4	127.457307	123.508
4	127.671256	124.196
4	129.679075	124.531
4	129.932961	125.328
4	131.146911	126
4	131.854309	127.063
4	132.977337	127.183
4	134.873627	128.378
4	135.999937	128.602
4	136.2774	129.273
4	137.616496	129.848
4	138.764938	131.597
4	139.412601	131.82
4	142.438198	137.133
4	146.387107	139.093
4	147.248415	140.663
4	149.139539	141.607
4	149.624304	142.529
4	153.704882	144.353
4	154.799243	147.366
4	156.729486	149.476
4	156.972624	150.39
4	159.425553	152.631
4	160.568882	152.895
4	163.944452	155.396
4	164.223308	156.163
4	165.628896	157.131
4	166.059931	158.119
4	167.871029	159.808
4	167.895913	160.394
4	169.574702	161.582
4	170.257693	163.424
4	172.685846	164.591
4	173.222335	165.444
4	174.659588	166.3
4	175.372199	168.066
4	177.527939	170.323
4	178.596673	173.119
4	181.361244	176.502
4	182.964128	179.841
4	184.052555	183.493
4	184.517241	183.741
4	185.728832	189.294
4	188.22808	197.011
4	188.558479	197.48
4	191.128697	197.4801
5	1e-06	0
5	2.657903	0.023
5	5.881684	11.907
5	9.135481	17.298
5	10.728766	22.841
5	11.742342	24.9
5	13.656883	25.544
5	15.067182	28.515
5	16.463418	29.169
5	17.506016	32.246
5	18.813395	33.167
5	18.945432	33.842
5	23.174965	35.812
5	23.287137	36.501
5	24.393207	37.003
5	24.938093	38.206
5	26.154066	38.672
5	26.445109	39.222
5	30.95394	42.05
5	31.677961	43.35
5	32.096452	46.319
5	33.511557	47.501
5	33.713918	48.598
5	34.572813	49.514
5	35.204127	51.107
5	36.344854	51.609
5	36.727869	52.514
5	37.918715	52.697
5	38.854038	55.626
5	41.590915	57.273
5	45.604426	58.047
5	50.187722	58.072
5	52.167072	58.709
5	52.28299	59.295
5	53.62792	59.932
5	54.370181	61.383
5	55.333056	61.587
5	56.023055	63.172
5	57.380923	64.406
5	58.881672	65.516
5	60.86689	66.077
5	61.236164	66.952
5	65.563667	68.86
5	68.043559	72.725
5	70.984574	73.309
5	71.530687	74.654
5	72.457774	74.868
5	74.278608	79.774
5	75.252167	80.038
5	75.602262	80.546
5	75.878727	81.978
5	77.32847	84.223
5	77.968847	84.45
5	78.167092	85.583
5	79.017306	86.153
5	79.58794	87.799
5	81.72238	89.319
5	83.473592	91.681
5	84.443668	92.34
5	88.925711	93.832
5	89.084843	94.425
5	91.964461	95.79
5	92.740447	96.779
5	94.752635	97.551
5	95.245017	98.542
5	95.777541	98.612
5	96.559225	99.855
5	97.82103	100.644
5	99.307666	101.384
5	102.70928	102.131
5	103.349963	103.093
5	105.894761	104.034
5	106.828047	104.852
5	107.30479	106.439
5	108.64215	106.803
5	108.66764	107.323
5	109.258634	107.424
5	109.638118	108.314
5	110.40889	108.436
5	110.93397	109.268
5	111.990575	109.687
5	112.044477	110.101
5	115.096071	111.86
5	116.416478	114.686
5	120.947695	116.945
5	122.032535	118.377
5	123.152132	118.834
5	123.969149	120.636
5	125.166817	122.223
5	125.69715	122.357
5	125.933468	123.285
5	126.966014	123.758
5	127.019355	124.307
5	129.76977	125.572
5	131.343783	125.636
5	132.031985	126.044
5	133.450715	128.399
5	134.583519	129.002
5	135.427351	131.092
5	137.033572	132.168
5	139.005706	132.746
5	139.394936	133.287
5	141.034424	133.745
5	142.600719	137.554
5	143.477119	138.265
5	145.216164	138.828
5	147.27855	141.847
5	148.094999	142.315
5	149.855924	146.325
5	150.885591	147.603
5	151.032339	148.756
5	152.740533	149.446
5	155.513021	151.94
5	157.09095	152.647
5	158.875622	154.22
5	159.339742	155.77
5	160.130499	156.667
5	161.412131	157.211
5	163.744136	160.182
5	164.877527	160.636
5	165.025942	162.022
5	166.771863	163.919
5	168.775661	168.454
5	169.560285	169.436
5	170.143829	171.763
5	170.777664	172.003
5	171.203753	173.58
5	172.6082	175.926
5	172.802615	177.875
5	174.332504	181.929
5	175.14015	185.854
5	177.316388	187.996
5	178.112905	189.584
5	180.623543	189.5841
6	1e-06	0
6	2.77619	0.215
6	3.802623	3.119
6	3.908729	4.509
6	5.429828	7.635
6	6.935673	12.529
6	8.205335	14.647
6	8.794274	14.919
6	9.363486	16.31
6	10.149866	16.862
6	12.627418	22.565
6	13.416293	23.066
6	13.662022	24.116
6	14.729332	25.476
6	15.1755	27.289
6	15.925607	27.517
6	17.037691	30.013
6	17.872258	30.943
6	19.549503	31.751
6	20.362954	34.264
6	21.395972	35.083
6	22.412183	37.825
6	23.284666	38.337
6	24.125887	40.295
6	25.594779	42.272
6	29.463127	42.986
6	32.778934	44.153
6	33.895724	45.146
6	34.079204	46.185
6	34.65989	46.769
6	36.335286	47.282
6	37.832391	50.209
6	39.127481	50.889
6	41.394231	53.978
6	42.575876	57.824
6	43.787025	58.526
6	44.646821	61.674
6	45.499921	61.947
6	46.429048	63.657
6	48.514384	65.212
6	51.813583	66.163
6	53.38396	68.271
6	53.668021	69.249
6	56.41225	70.786
6	65.250541	71.527
6	69.353483	74.189
6	70.680947	74.514
6	71.679974	75.493
6	73.378775	76.292
6	74.489384	77.5
6	78.246975	79.066
6	79.917888	79.341
6	80.761863	80.267
6	82.436294	80.678
6	86.19338	82.687
6	88.539484	83.33
6	89.147376	84.73
6	90.681887	85.609
6	92.075807	89.193
6	98.904429	92.771
6	99.045555	93.287
6	100.681993	94.307
6	101.059869	95.188
6	101.950974	95.288
6	102.309204	95.965
6	105.858243	98.071
6	107.572411	101.542
6	108.391858	102.192
6	108.628006	103.247
6	110.346397	104.544
6	111.506483	106.197
6	112.582903	106.576
6	115.309225	108.786
6	116.807502	109.038
6	118.634711	110.209
6	123.071368	111.668
6	123.897705	112.481
6	125.773629	116.314
6	129.567166	118.207
6	130.996834	120.246
6	132.008726	120.794
6	133.131834	122.369
6	134.345716	123.032
6	134.952731	124.77
6	137.542479	127.478
6	137.728538	128.481
6	139.579904	131.393
6	139.944019	132.963
6	143.072921	133.955
6	144.822274	136.092
6	146.704651	136.568
6	147.889411	137.795
6	148.814163	139.305
6	149.357578	141.38
6	150.224322	141.799
6	151.159964	143.25
6	151.688324	145.617
6	152.460268	146.315
6	152.584241	147.214
6	153.673811	148.159
6	153.757548	148.977
6	155.26085	150.899
6	155.821226	152.726
6	158.142228	155.887
6	159.434587	156.839
6	159.988958	158.149
6	161.609806	159.371
6	162.562714	162.527
6	163.534768	163.43
6	164.703881	166.678
6	165.751481	167.732
6	166.162884	169.691
6	168.206473	174.705
6	170.750927	174.751
7	1e-06	0
7	2.639592	1e-04
7	3.274721	2.022
7	3.958172	2.143
7	4.27236	2.642
7	5.483466	6.135
7	6.281291	6.565
7	7.335224	8.552
7	7.766976	8.679
7	9.359025	14.351
7	11.187371	15.658
7	11.824245	17.835
7	12.59861	18.2
7	13.626289	19.634
7	14.403342	22.207
7	15.858329	24.271
7	16.556831	24.502
7	17.580072	26.916
7	18.820645	27.769
7	19.115372	29.031
7	19.945134	29.533
7	20.745171	31.313
7	21.67278	32.117
7	22.130791	33.742
7	23.082491	34.825
7	24.806237	35.829
7	26.66174	38.175
7	28.222765	39.141
7	29.495598	42.726
7	30.692226	43.639
7	32.42754	47.2
7	33.519365	47.5
7	34.260846	49.522
7	35.285684	49.912
7	36.470456	51.225
7	36.519181	51.938
7	37.320616	52.873
7	37.4791	54.176
7	37.875304	54.209
7	38.724851	55.573
7	40.620209	56.544
7	42.463883	59.925
7	45.192408	62.163
7	45.217109	62.741
7	46.946947	64.209
7	47.951278	66.055
7	49.599837	67.013
7	51.922768	69.458
7	54.635114	70.574
7	55.765851	71.873
7	57.439519	72.642
7	62.198215	72.706
7	64.144339	73.249
7	66.038892	73.268
7	66.945147	73.717
7	68.376008	76.06
7	69.642601	76.323
7	71.071369	78.638
7	72.679066	79.138
7	73.706103	80.596
7	75.002954	80.802
7	75.460747	81.664
7	77.436474	82.57
7	78.546224	85.58
7	79.578092	86.041
7	80.822767	88.195
7	83.647047	91.339
7	87.658355	92.775
7	89.198466	94.095
7	90.498235	94.391
7	91.137097	95.414
7	92.430599	95.82
7	93.901351	98.072
7	94.559989	98.131
7	96.405016	99.459
7	96.461966	100.095
7	98.298998	102.175
7	100.386209	102.8
7	101.888274	104.423
7	102.973113	104.723
7	104.012974	106.109
7	104.846842	106.324
7	105.849393	109.18
7	106.287672	110.008
7	107.090864	110.259
7	107.569436	111.789
7	108.842962	112.206
7	110.284409	113.667
7	111.179651	113.781
7	111.630866	114.849
7	114.897362	116.189
7	116.760524	117.756
7	120.691895	118.817
7	122.170603	120.213
7	124.705861	121.081
7	125.179594	121.748
7	127.57287	122.421
7	127.814627	123.242
7	129.713858	124.625
7	131.51307	129.154
7	132.134478	129.896
7	133.865943	130.478
7	135.091671	131.664
7	135.785359	133.25
7	136.933752	133.942
7	139.879676	140.337
7	141.319174	141.259
7	141.687361	142.516
7	143.804256	144.006
7	144.813358	145.319
7	146.020192	145.854
7	147.37213	147.568
7	147.998949	149.815
7	149.076518	150.955
7	151.018464	154.795
7	151.337042	157.32
7	151.823054	157.412
7	152.226785	158.453
7	152.422019	160.23
7	153.543778	162.221
7	154.85756	166.719
7	155.761806	171.55
7	156.202081	172.356
7	158.742541	172.3561
8	1e-06	0
8	2.683202	1e-04
8	4.881957	6.675
8	6.005078	8.279
8	8.143918	15.573
8	9.297944	16.79
8	10.099953	16.877
8	10.627323	17.794
8	11.863183	18.336
8	12.595527	19.52
8	13.044981	22.436
8	14.072885	23.711
8	16.666722	25.672
8	17.682603	29.325
8	18.555377	30.154
8	19.152301	32.246
8	21.182901	34.991
8	23.61256	40.62
8	25.520009	42.11
8	26.746612	44.364
8	27.790412	45.044
8	28.679585	46.931
8	29.306465	47.165
8	30.294506	49.395
8	31.146856	49.737
8	31.28359	50.488
8	33.68492	51.988
8	37.090513	53.186
8	37.857774	54.706
8	38.422122	54.958
8	38.945522	55.925
8	39.899146	56.062
8	41.863251	59.093
8	42.663174	59.521
8	49.021486	59.676
8	53.09243	60.943
8	53.496729	61.961
8	54.269163	62.23
8	56.765392	64.545
8	58.834075	65.617
8	60.185051	67.926
8	61.953322	68.578
8	62.602905	69.8
8	65.883751	71.118
8	66.346598	71.94
8	68.730739	72.609
8	69.288023	73.991
8	70.535664	75.34
8	71.03341	77.121
8	72.174885	77.49
8	73.402584	79.478
8	73.588925	80.458
8	75.237492	82.204
8	78.193307	83.855
8	79.912462	84.148
8	83.170552	87.322
8	87.048213	88.544
8	87.867496	89.288
8	92.936858	91.254
8	94.479946	92.91
8	96.150578	93.828
8	96.972242	95.797
8	99.157427	97.768
8	99.480263	98.873
8	101.466138	99.264
8	102.220113	101.652
8	103.62712	103.388
8	104.215907	104.821
8	105.762002	105.278
8	106.803045	106.332
8	111.278161	108.83
8	114.453709	109.349
8	117.198588	110.95
8	119.765786	114.297
8	121.595928	115.535
8	123.516068	117.892
8	124.07027	119.782
8	124.924957	120.799
8	124.935243	121.624
8	126.470205	123.286
8	126.942291	125.099
8	128.53006	127.616
8	129.38168	130.5
8	130.422409	130.911
8	130.784692	131.859
8	131.567362	132.063
8	131.725022	132.813
8	134.044465	135.588
8	134.656683	138.371
8	136.290117	141.33
8	139.243891	144.078
8	139.371399	146.216
8	140.796115	150.289
8	142.493544	153.02
8	143.276606	155.959
8	143.718931	156.528
8	146.245512	156.5281
9	1e-06	0
9	2.700537	1e-04
9	3.555211	1.005
9	4.943916	5.573
9	7.123346	7.691
9	9.18567	13.964
9	9.859714	14.565
9	10.870887	17.1
9	11.936421	17.314
9	12.768224	18.257
9	14.237788	21.631
9	15.077382	24.889
9	15.37961	25.433
9	16.043792	25.473
9	16.988232	27.851
9	17.447854	27.933
9	18.647558	29.525
9	20.658315	33.494
9	21.535777	33.907
9	22.197037	35.394
9	22.95666	35.591
9	23.737791	37.426
9	24.710232	37.877
9	25.946931	40.054
9	27.144617	40.58
9	27.716731	42.965
9	28.6185	44.19
9	31.100057	45.26
9	31.111425	45.683
9	32.236791	46.163
9	33.608936	47.934
9	36.699347	49.213
9	36.993075	50.234
9	38.144137	51.032
9	39.088698	53.691
9	44.805022	54.506
9	67.660241	54.5061
9	70.347279	55.158
9	71.512253	56.48
9	73.106773	57.112
9	73.885264	58.549
9	76.158411	59.803
9	77.645475	61.976
9	78.771562	65.273
9	80.240188	66.58
9	81.836359	69.124
9	83.363306	69.999
9	83.671809	71.482
9	84.543582	71.778
9	85.415939	73.193
9	85.886569	73.305
9	87.312827	75.895
9	88.213328	76.217
9	90.089447	80.322
9	91.42084	81.587
9	91.940644	83.901
9	92.62875	84.359
9	93.228207	85.673
9	94.78721	86.331
9	96.516305	87.886
9	97.162266	87.951
9	98.124002	89.42
9	99.90646	90.171
9	100.899897	92.483
9	102.874693	93.126
9	103.779601	94.369
9	106.576716	95.782
9	107.013098	96.949
9	108.191499	97.434
9	109.992872	100.984
9	111.013287	101.637
9	112.376005	104.03
9	114.712851	105.849
9	115.763309	108.134
9	116.120209	109.97
9	116.880743	110.956
9	117.781035	111.396
9	118.200612	112.755
9	120.356846	114.329
9	121.736456	117.635
9	123.378855	118.449
9	124.465381	120.214
9	125.762468	120.861
9	126.273028	121.92
9	127.752063	122.299
9	128.673149	123.948
9	129.576538	124.199
9	130.371141	125.316
9	131.00676	125.552
9	131.24507	127.049
9	131.931508	128.053
9	132.907098	131.143
9	135.326989	135.583
9	136.284673	138.687
9	137.557651	146.273
9	140.128836	146.289
10	1e-06	0
10	2.617161	1e-04
10	3.99334	6.426
10	6.223811	10.56
10	6.429611	12.309
10	8.65102	18.983
10	9.081164	19.593
10	10.119956	20.019
10	10.672427	21.668
10	11.289246	22.279
10	11.479842	23.328
10	12.370719	24.449
10	13.753732	27.814
10	14.871948	31.496
10	16.47853	33.477
10	17.113141	35.531
10	21.673351	40.232
10	24.29072	41.157
10	24.898396	42.741
10	26.019749	43.503
10	26.965728	45.032
10	28.657816	45.792
10	30.683878	49.801
10	30.95843	51.209
10	33.50075	52.383
10	34.587568	54.323
10	35.879315	54.72
10	37.202786	56.413
10	42.544707	56.617
10	45.237382	58.361
10	47.065283	58.424
10	47.171576	58.855
10	49.074485	59.248
10	50.583013	60.983
10	52.548404	61.708
10	54.338603	64.196
10	54.524447	65.046
10	56.280721	66.053
10	56.804994	66.925
10	59.489587	67.838
10	62.352175	71.165
10	63.200328	71.365
10	64.578695	72.844
10	67.211649	74.188
10	68.43275	75.48
10	69.525369	75.676
10	70.657944	76.435
10	73.213459	82.972
10	77.326027	84.747
10	77.675236	85.862
10	78.308963	86.206
10	80.278732	89.306
10	80.920734	91.516
10	82.351823	92.301
10	82.882268	93.918
10	83.582387	94.098
10	83.992154	95.132
10	85.37652	95.738
10	86.067049	96.845
